<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.14	308.57	316.59	307.42	315.55	12374	0	14
2021.05.17	314.66	315.34	311.48	315.34	13325	0	26
2021.05.18	317.18	317.55	311.16	312.25	11742	0	14
2021.05.19	305.03	314.48	302.99	311.86	18347	0	26
2021.05.20	311.32	319.04	310.63	317.73	12217	0	14
2021.05.21	318.45	320.19	316.07	317.09	10774	0	14
2021.05.24	317.42	325.88	317.01	324.69	9725	0	14
2021.05.25	326.41	329.03	324.57	327.43	11336	0	26
2021.05.26	327.07	329.68	325.73	327.35	8524	0	14
2021.05.27	325.32	332.71	325.13	329.76	10536	0	14
2021.05.28	332.37	332.88	329.26	329.81	9818	0	14
2021.06.01	329.06	331.24	326.53	329.46	10173	0	14
2021.06.02	328.37	331.68	327.02	327.89	10285	0	14
2021.06.03	328.28	328.47	323.40	326.29	13075	0	14
2021.06.04	323.98	332.33	321.07	330.19	10763	0	14
2021.06.07	328.38	337.55	327.48	336.62	12459	0	26
2021.06.08	336.87	338.10	332.12	333.80	11859	0	14
2021.06.09	334.14	336.63	330.07	330.60	10296	0	26
2021.06.10	329.37	333.80	327.82	332.19	10423	0	14
2021.06.11	332.53	333.51	328.81	330.28	9052	0	14
2021.06.14	331.67	336.58	329.71	335.66	8324	0	26
2021.06.15	336.46	339.78	334.95	337.19	9189	0	26
2021.06.16	336.33	337.87	328.62	332.22	12797	0	26
2021.06.17	329.01	337.81	328.54	337.44	12475	0	26
2021.06.18	337.23	337.32	330.34	331.22	12551	0	26
2021.06.21	331.52	332.79	327.56	331.95	10891	0	26
2021.06.22	331.27	339.36	331.27	339.29	10024	0	26
2021.06.23	339.37	343.26	337.92	340.87	9708	0	26
2021.06.24	342.58	344.75	341.53	342.28	8224	0	26
2021.06.25	343.87	344.16	339.56	341.74	7224	0	14
2021.06.28	342.12	357.97	341.46	355.49	12586	0	26
2021.06.29	356.49	357.18	348.95	351.58	12049	0	26
2021.06.30	350.93	352.54	347.06	348.77	8108	0	26
2021.07.01	348.36	354.51	346.03	353.61	9817	0	26
2021.07.02	354.36	356.28	352.52	354.33	7715	0	26
2021.07.06	354.94	358.35	349.09	352.94	9655	0	26
2021.07.07	353.93	356.33	350.28	350.95	10621	0	26
2021.07.08	345.25	348.19	342.48	345.32	13047	0	26
2021.07.09	345.53	350.56	343.61	350.00	8762	0	26
2021.07.12	351.07	354.04	349.53	353.04	9180	0	26
2021.07.13	354.43	355.10	348.55	352.78	10457	0	26
2021.07.14	352.80	355.21	346.60	348.58	9845	0	26
2021.07.15	349.67	350.28	340.12	344.39	11978	0	26
2021.07.16	343.44	346.57	340.03	340.52	10361	0	14
2021.07.19	339.56	340.16	334.34	335.76	16207	0	26
2021.07.20	337.89	343.28	334.41	342.69	9887	0	26
2021.07.21	342.41	345.99	340.52	345.63	9227	0	26
2021.07.22	346.28	351.39	345.10	350.85	8666	0	14
2021.07.23	360.53	375.11	357.00	370.13	15958	0	26
2021.07.26	369.24	374.29	368.02	371.94	11342	0	26
2021.07.27	372.07	373.38	364.49	366.17	15121	0	26
2021.07.28	373.24	377.14	366.79	374.30	16196	0	26
2021.07.29	357.68	365.05	356.61	358.72	15392	0	26
2021.07.30	353.68	360.59	352.69	355.42	10687	0	26
2021.08.02	358.28	358.97	351.16	351.20	10367	0	26
2021.08.03	351.47	353.38	347.61	351.02	10514	0	26
2021.08.04	351.95	360.32	350.86	358.92	11510	0	26
2021.08.05	359.41	362.41	356.68	362.29	8124	0	26
2021.08.06	362.50	364.89	360.28	363.12	7711	0	26
2021.08.09	363.89	365.63	361.28	361.51	7618	0	26
2021.08.10	361.77	363.96	358.92	360.43	8924	0	26
2021.08.11	359.16	362.87	357.68	359.80	9924	0	26
2021.08.12	358.63	362.79	357.00	362.74	8397	0	14
2021.08.13	361.69	364.50	361.25	362.57	7235	0	26
2021.08.16	362.87	366.60	357.29	365.93	11721	0	26
2021.08.17	364.91	365.32	354.97	357.71	12897	0	26
2021.08.18	358.47	360.28	355.14	357.00	11282	0	26
2021.08.19	352.48	357.42	350.28	355.50	14553	0	26
2021.08.20	353.27	359.34	353.12	358.76	9257	0	14
2021.08.23	358.77	365.55	358.31	363.23	9726	0	26
2021.08.24	363.59	367.79	361.59	365.42	10226	0	26
2021.08.25	365.65	370.71	364.32	368.77	9323	0	26
2021.08.26	367.36	369.29	364.31	364.49	12139	0	26
2021.08.27	365.74	373.24	363.86	373.05	10063	0	26
2021.08.30	372.62	381.35	370.45	380.82	9565	0	26
2021.08.31	381.03	382.58	378.24	379.85	10725	0	26
2021.09.01	379.51	384.18	376.34	382.90	9714	0	26
2021.09.02	382.00	382.56	373.92	374.45	11271	0	26
2021.09.03	375.29	377.02	373.02	375.70	8814	0	26
2021.09.07	375.36	382.81	372.86	382.05	10144	0	26
2021.09.08	380.92	381.49	374.68	377.10	13259	0	26
2021.09.09	376.38	379.67	375.86	379.28	10805	0	26
2021.09.10	379.09	383.63	378.85	379.47	11736	0	26
2021.09.13	379.97	382.23	374.22	375.81	13886	0	26
2021.09.14	375.79	378.19	373.15	376.58	10454	0	26
2021.09.15	376.90	377.25	367.58	375.04	11635	0	26
2021.09.16	372.54	373.43	369.62	372.90	10295	0	26
2021.09.17	371.90	372.92	361.47	364.11	11913	0	26
2021.09.20	359.99	360.95	349.81	355.13	16386	0	26
2021.09.21	358.48	359.90	355.26	359.61	15415	0	26
2021.09.22	358.79	359.29	340.59	343.63	20746	0	26
2021.09.23	347.50	349.51	342.90	346.28	12348	0	26
2021.09.24	342.84	354.09	342.03	354.02	12420	0	26
