<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.14	04:00:00	1.13416	1.13429	1.13399	1.13425	228	0	0
2020.07.14	04:30:00	1.13425	1.13449	1.13401	1.13445	232	0	0
2020.07.14	05:00:00	1.13445	1.13461	1.13416	1.13433	299	0	0
2020.07.14	05:30:00	1.13433	1.13439	1.13374	1.13378	286	0	0
2020.07.14	06:00:00	1.13379	1.13485	1.13366	1.13448	780	0	0
2020.07.14	06:30:00	1.13447	1.13466	1.13413	1.13425	593	0	0
2020.07.14	07:00:00	1.13426	1.13437	1.13308	1.13328	820	0	0
2020.07.14	07:30:00	1.13329	1.13336	1.13248	1.13309	767	0	0
2020.07.14	08:00:00	1.13308	1.13396	1.13302	1.13372	729	0	0
2020.07.14	08:30:00	1.13373	1.13581	1.13363	1.13504	906	0	0
2020.07.14	09:00:00	1.13505	1.13583	1.13470	1.13574	925	0	0
2020.07.14	09:30:00	1.13575	1.13655	1.13569	1.13602	858	0	0
2020.07.14	10:00:00	1.13601	1.13621	1.13515	1.13568	748	0	0
2020.07.14	10:30:00	1.13568	1.13729	1.13541	1.13702	763	0	0
2020.07.14	11:00:00	1.13701	1.13763	1.13643	1.13754	774	0	0
2020.07.14	11:30:00	1.13755	1.13808	1.13734	1.13772	843	0	0
2020.07.14	12:00:00	1.13773	1.13800	1.13712	1.13741	810	0	0
2020.07.14	12:30:00	1.13740	1.13771	1.13629	1.13715	1014	0	0
2020.07.14	13:00:00	1.13714	1.13783	1.13639	1.13659	1134	0	0
2020.07.14	13:30:00	1.13660	1.13929	1.13609	1.13893	1779	0	0
2020.07.14	14:00:00	1.13892	1.14012	1.13846	1.14003	1333	0	0
2020.07.14	14:30:00	1.14004	1.14052	1.13928	1.13988	1435	0	0
2020.07.14	15:00:00	1.13989	1.14033	1.13927	1.13941	1141	0	0
2020.07.14	15:30:00	1.13940	1.14063	1.13936	1.14053	751	0	0
2020.07.14	16:00:00	1.14052	1.14062	1.14007	1.14016	534	0	0
2020.07.14	16:30:00	1.14016	1.14082	1.14013	1.14029	593	0	0
2020.07.14	17:00:00	1.14028	1.14048	1.13973	1.13977	578	0	0
2020.07.14	17:30:00	1.13977	1.13994	1.13912	1.13964	492	0	0
2020.07.14	18:00:00	1.13965	1.14032	1.13959	1.13997	669	0	0
2020.07.14	18:30:00	1.13998	1.14011	1.13929	1.13930	531	0	0
2020.07.14	19:00:00	1.13930	1.13937	1.13866	1.13925	555	0	0
2020.07.14	19:30:00	1.13925	1.13944	1.13886	1.13886	509	0	0
2020.07.14	20:00:00	1.13885	1.13926	1.13883	1.13914	289	0	0
2020.07.14	20:30:00	1.13913	1.13996	1.13913	1.13994	282	0	0
2020.07.14	21:00:00	1.13968	1.13988	1.13900	1.13945	428	0	0
2020.07.14	21:30:00	1.13945	1.13995	1.13909	1.13992	765	0	0
2020.07.14	22:00:00	1.13992	1.14077	1.13992	1.14074	303	0	0
