<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.09.11	159.42	160.12	154.17	155.45	35853	0	0
2020.09.14	157.91	159.33	154.71	155.30	31511	0	0
2020.09.15	157.42	158.71	155.41	156.97	24601	0	0
2020.09.16	158.39	158.41	154.18	154.91	27821	0	0
2020.09.17	150.03	151.43	148.63	149.76	37189	0	0
2020.09.18	150.61	151.03	145.24	146.90	37117	0	0
2020.09.21	145.57	147.21	143.55	146.48	31872	0	0
2020.09.22	150.69	156.21	150.00	156.11	33419	0	0
2020.09.23	155.18	155.21	149.58	150.62	30462	0	0
2020.09.24	148.37	153.40	148.17	150.96	36162	0	0
2020.09.25	151.42	155.00	149.93	154.55	25807	0	0
2020.09.28	157.42	158.70	155.84	158.53	25537	0	0
2020.09.29	159.14	159.37	157.12	157.28	19099	0	0
2020.09.30	157.53	160.58	156.65	157.40	28559	0	0
2020.10.01	160.03	161.16	158.60	160.80	26255	0	0
2020.10.02	158.49	159.73	156.12	156.92	30731	0	0
2020.10.05	157.35	159.86	157.18	159.65	17744	0	0
2020.10.06	158.66	158.70	154.58	155.02	24915	0	0
2020.10.07	157.50	159.63	156.98	159.61	19130	0	0
2020.10.08	160.36	160.71	158.70	159.51	17969	0	0
2020.10.09	160.58	164.26	160.58	164.05	18664	0	0
2020.10.12	168.76	174.77	168.18	172.42	30026	0	0
2020.10.13	171.28	174.57	171.18	173.16	29875	0	0
2020.10.14	172.87	172.97	166.98	168.66	30709	0	0
2020.10.15	165.49	167.75	164.17	167.59	25097	0	0
2020.10.16	168.31	169.93	164.72	165.02	24507	0	0
2020.10.19	166.11	166.41	159.59	159.83	30246	0	0
2020.10.20	160.51	163.25	159.58	161.57	27519	0	0
2020.10.21	161.20	161.61	157.97	159.59	28298	0	0
2020.10.22	159.20	159.36	156.05	158.83	27010	0	0
2020.10.23	158.46	159.40	156.97	159.37	20721	0	0
2020.10.26	161.68	164.07	157.65	159.96	32449	0	0
2020.10.27	162.00	164.47	160.55	164.40	24053	0	0
2020.10.28	161.83	161.89	158.49	158.99	28720	0	0
2020.10.29	158.66	162.81	158.20	161.39	27920	0	0
2020.10.30	155.67	155.81	150.92	151.53	38219	0	0
2020.11.02	153.08	153.66	147.48	149.04	31825	0	0
2020.11.03	149.26	153.70	149.01	152.92	27798	0	0
2020.11.04	158.87	162.11	156.89	161.35	31239	0	0
2020.11.05	166.18	168.29	165.66	165.99	25463	0	0
2020.11.06	162.34	166.07	161.60	165.42	24142	0	0
2020.11.09	159.37	164.35	157.99	158.52	34728	0	0
2020.11.10	152.81	153.84	150.93	152.22	37802	0	0
2020.11.11	154.20	156.70	154.01	156.53	24969	0	0
2020.11.12	158.53	158.55	154.28	155.39	27914	0	0
2020.11.13	156.60	157.04	154.26	156.57	23095	0	0
2020.11.16	155.49	157.10	154.98	156.24	20612	0	0
2020.11.17	158.35	158.75	156.72	157.09	18316	0	0
2020.11.18	156.66	156.94	155.44	155.78	16206	0	0
2020.11.19	154.66	156.20	154.01	155.94	17064	0	0
2020.11.20	155.36	156.60	154.90	155.14	13655	0	0
2020.11.23	156.78	156.92	153.24	155.05	19221	0	0
2020.11.24	154.84	156.67	154.31	155.70	17418	0	0
2020.11.25	157.65	159.86	157.59	159.44	16518	0	0
2020.11.27	160.14	160.72	159.56	159.87	8352	0	0
2020.11.30	160.65	160.74	156.25	157.95	20899	0	0
2020.12.01	158.49	162.39	157.82	160.55	21184	0	0
2020.12.02	159.54	161.51	158.65	160.13	17578	0	0
2020.12.03	160.78	161.40	159.23	159.60	16067	0	0
2020.12.04	159.08	159.33	157.89	158.04	12796	0	0
2020.12.07	158.79	158.99	157.47	157.55	12458	0	0
2020.12.08	157.08	159.18	155.99	158.85	15917	0	0
2020.12.09	157.83	158.39	154.37	155.02	21282	0	0
2020.12.10	155.02	157.07	154.62	155.49	19209	0	0
2020.12.11	155.17	155.88	153.61	155.56	19137	0	0
2020.12.14	157.97	159.49	157.93	158.13	19700	0	0
2020.12.15	158.69	159.37	156.50	157.99	17034	0	0
2020.12.16	158.30	162.31	158.24	162.22	17826	0	0
2020.12.17	162.84	162.92	161.02	161.34	14944	0	0
2020.12.18	161.45	161.49	158.54	159.57	17044	0	0
2020.12.21	160.89	161.24	158.35	159.59	17700	0	0
2020.12.22	159.84	161.05	158.98	160.18	16558	0	0
2020.12.23	159.73	160.47	159.21	159.64	11913	0	0
2020.12.24	159.93	160.03	158.44	158.58	8116	0	0
2020.12.28	159.70	165.16	158.60	164.39	22141	0	0
2020.12.29	166.00	167.50	164.01	166.11	21312	0	0
2020.12.30	166.25	166.64	164.24	164.64	15833	0	0
2020.12.31	164.05	164.07	162.28	162.64	7931	0	0
2021.01.04	162.31	162.68	157.19	159.29	24245	0	0
2021.01.05	159.22	161.09	159.17	160.50	16900	0	0
2021.01.06	157.92	159.82	156.54	157.16	21876	0	0
2021.01.07	159.12	160.40	158.80	158.99	15148	0	0
2021.01.08	158.00	159.10	157.08	159.10	20657	0	0
2021.01.11	156.61	157.79	155.47	155.67	16925	0	0
2021.01.12	156.77	156.84	154.26	156.21	17539	0	0
2021.01.13	156.75	159.45	156.68	158.82	16243	0	0
2021.01.14	157.87	158.84	156.00	156.65	15242	0	0
2021.01.15	156.63	156.98	154.76	154.96	18417	0	0
2021.01.19	156.01	157.20	154.78	156.32	13734	0	0
2021.01.20	160.63	163.95	159.75	163.49	17726	0	0
2021.01.21	166.23	167.38	165.10	165.72	17084	0	0
2021.01.22	164.38	166.01	164.26	165.05	12255	0	0
2021.01.25	167.91	168.13	162.13	164.84	20233	0	0
2021.01.26	165.12	166.85	164.11	166.53	14969	0	0
2021.01.27	164.19	165.51	160.35	161.24	24227	0	0
2021.01.28	160.42	165.05	159.63	162.46	21935	0	0
2021.01.29	160.42	162.08	159.30	160.70	26211	0	0
2021.02.01	162.17	166.89	161.73	166.88	19606	0	0
2021.02.02	168.83	171.21	168.01	169.05	22313	0	0
2021.02.03	168.83	173.53	165.81	166.32	29719	0	0
2021.02.04	166.70	167.23	163.86	166.07	19121	0	0
2021.02.05	167.10	168.81	165.10	167.14	18608	0	0
2021.02.08	168.04	168.17	165.17	165.91	15812	0	0
2021.02.09	165.79	166.77	165.13	165.30	12638	0	0
2021.02.10	165.54	165.79	162.63	163.56	16943	0	0
2021.02.11	164.60	164.68	162.38	162.71	14984	0	0
2021.02.12	162.74	163.46	161.63	163.44	13126	0	0
2021.02.16	164.39	165.36	162.63	163.39	16740	0	0
2021.02.17	163.09	166.00	162.58	165.41	19156	0	0
2021.02.18	163.79	166.86	163.49	166.53	17311	0	0
2021.02.19	166.64	167.04	162.46	162.59	18532	0	0
2021.02.22	160.74	161.51	158.59	159.24	19234	0	0
2021.02.23	154.83	160.00	154.62	159.60	27648	0	0
2021.02.24	160.05	160.58	156.25	157.28	22334	0	0
2021.02.25	157.26	158.78	152.32	153.11	32178	0	0
2021.02.26	152.21	156.06	151.47	155.02	31064	0	0
2021.03.01	156.64	157.43	154.85	157.24	18639	0	0
2021.03.02	156.40	158.12	155.02	155.19	19872	0	0
2021.03.03	155.76	156.05	149.73	150.71	31825	0	0
