<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.20	1.12421	1.13033	1.12361	1.12769	25047	0	0
2021.12.21	1.12770	1.13023	1.12604	1.12869	24039	0	0
2021.12.22	1.12871	1.13418	1.12639	1.13260	23681	0	0
2021.12.23	1.13258	1.13416	1.12898	1.13221	21664	0	0
2021.12.24	1.13223	1.13420	1.13040	1.13065	11016	0	0
2021.12.26	1.13103	1.13254	1.13059	1.13227	2020	0	0
2021.12.27	1.13226	1.13341	1.13025	1.13291	16311	0	0
2021.12.28	1.13289	1.13329	1.12892	1.13127	17497	0	0
2021.12.29	1.13125	1.13683	1.12733	1.13593	21159	0	0
2021.12.30	1.13591	1.13591	1.12981	1.13217	20794	0	0
2021.12.31	1.13216	1.13859	1.13029	1.13829	20363	0	0
2022.01.02	1.13716	1.13780	1.13648	1.13724	1361	0	0
2022.01.03	1.13726	1.13752	1.12793	1.13012	26121	0	0
2022.01.04	1.13015	1.13221	1.12718	1.12824	26827	0	0
2022.01.05	1.12823	1.13460	1.12767	1.13103	25703	0	0
2022.01.06	1.13104	1.13315	1.12842	1.12946	29198	0	0
2022.01.07	1.12944	1.13643	1.12896	1.13611	22743	0	0
2022.01.09	1.13554	1.13605	1.13491	1.13532	1271	0	0
2022.01.10	1.13530	1.13576	1.12846	1.13296	24590	0	0
2022.01.11	1.13297	1.13747	1.13125	1.13655	23890	0	0
2022.01.12	1.13657	1.14523	1.13543	1.14392	24722	0	0
2022.01.13	1.14391	1.14812	1.14352	1.14562	26480	0	0
2022.01.14	1.14560	1.14824	1.13982	1.14146	26293	0	0
2022.01.16	1.14123	1.14160	1.14055	1.14109	1073	0	0
2022.01.17	1.14110	1.14339	1.13914	1.14096	19222	0	0
2022.01.18	1.14095	1.14210	1.13144	1.13282	30646	0	0
2022.01.19	1.13284	1.13567	1.13186	1.13425	24751	0	0
2022.01.20	1.13426	1.13685	1.13027	1.13125	25586	0	0
2022.01.21	1.13126	1.13593	1.13006	1.13437	24040	0	0
2022.01.23	1.13394	1.13444	1.13364	1.13407	935	0	0
2022.01.24	1.13405	1.13405	1.12901	1.13232	27148	0	0
2022.01.25	1.13234	1.13236	1.12629	1.13025	23620	0	0
2022.01.26	1.13027	1.13102	1.12350	1.12403	27038	0	0
2022.01.27	1.12402	1.12429	1.11309	1.11441	30503	0	0
2022.01.28	1.11442	1.11732	1.11210	1.11481	27292	0	0
2022.01.30	1.11424	1.11520	1.11381	1.11517	1004	0	0
2022.01.31	1.11516	1.12473	1.11437	1.12289	26771	0	0
2022.02.01	1.12288	1.12783	1.12205	1.12726	26475	0	0
2022.02.02	1.12728	1.13298	1.12663	1.12990	22966	0	0
2022.02.03	1.12988	1.14510	1.12670	1.14353	36644	0	0
2022.02.04	1.14352	1.14832	1.14113	1.14507	33852	0	0
2022.02.06	1.14545	1.14574	1.14511	1.14540	1251	0	0
2022.02.07	1.14542	1.14584	1.14148	1.14405	29166	0	0
2022.02.08	1.14407	1.14483	1.13959	1.14186	25890	0	0
2022.02.09	1.14161	1.14475	1.14022	1.14207	23293	0	0
2022.02.10	1.14204	1.14945	1.13745	1.14108	38003	0	0
2022.02.11	1.14107	1.14176	1.13293	1.13472	41600	0	0
2022.02.13	1.13376	1.13667	1.13369	1.13641	1859	0	0
2022.02.14	1.13642	1.13687	1.12798	1.13054	36971	0	0
2022.02.15	1.13055	1.13678	1.13028	1.13549	30608	0	0
2022.02.16	1.13547	1.13953	1.13447	1.13724	28731	0	0
2022.02.17	1.13725	1.13857	1.13228	1.13636	39058	0	0
2022.02.18	1.13634	1.13765	1.13142	1.13228	26734	0	0
2022.02.20	1.13180	1.13240	1.13129	1.13160	1425	0	0
2022.02.21	1.13161	1.13902	1.12959	1.13087	27434	0	0
2022.02.22	1.13086	1.13663	1.12876	1.13286	34262	0	0
2022.02.23	1.13284	1.13585	1.12998	1.13050	24695	0	0
2022.02.24	1.13052	1.13056	1.11060	1.11900	63309	0	0
2022.02.25	1.11902	1.12736	1.11656	1.12711	43526	0	0
2022.02.27	1.11351	1.11874	1.11350	1.11800	4505	0	0
2022.02.28	1.11798	1.12460	1.11418	1.12140	50870	0	0
2022.03.01	1.12138	1.12326	1.10893	1.11320	43459	0	0
2022.03.02	1.11318	1.11434	1.10571	1.11119	51316	0	0
2022.03.03	1.11121	1.11149	1.10331	1.10654	36677	0	0
2022.03.04	1.10652	1.10662	1.08853	1.09305	50874	0	0
2022.03.06	1.09254	1.09261	1.08628	1.08730	4386	0	0
2022.03.07	1.08731	1.09320	1.08056	1.08657	65403	0	0
2022.03.08	1.08658	1.09579	1.08488	1.08972	63715	0	0
2022.03.09	1.08974	1.10947	1.08963	1.10730	50248	0	0
2022.03.10	1.10729	1.11207	1.09760	1.10130	53475	0	0
2022.03.11	1.10129	1.10431	1.09017	1.09127	47624	0	0
2022.03.13	1.09198	1.09383	1.09100	1.09315	3548	0	0
2022.03.14	1.09314	1.09935	1.09002	1.09424	42862	0	0
2022.03.15	1.09425	1.10189	1.09258	1.09664	45408	0	0
2022.03.16	1.09666	1.10463	1.09497	1.10211	51593	0	0
2022.03.17	1.10214	1.11370	1.10199	1.10986	38465	0	0
2022.03.18	1.10987	1.11183	1.10027	1.10508	33879	0	0
2022.03.20	1.10548	1.10570	1.10406	1.10422	2097	0	0
2022.03.21	1.10420	1.10698	1.10098	1.10163	30319	0	0
2022.03.22	1.10164	1.10452	1.09605	1.10290	35466	0	0
2022.03.23	1.10291	1.10394	1.09637	1.10056	28960	0	0
2022.03.24	1.10056	1.10133	1.09648	1.10081	32436	0	0
2022.03.25	1.10082	1.10374	1.09806	1.09837	30509	0	0
2022.03.27	1.09844	1.09859	1.09771	1.09811	1687	0	0
2022.03.28	1.09810	1.09990	1.09443	1.09908	35453	0	0
2022.03.29	1.09910	1.11367	1.09685	1.10911	47538	0	0
2022.03.30	1.10909	1.11705	1.10877	1.11608	38781	0	0
2022.03.31	1.11607	1.11845	1.10606	1.10723	41229	0	0
2022.04.01	1.10725	1.10754	1.10276	1.10485	31931	0	0
2022.04.03	1.10377	1.10453	1.10347	1.10453	1250	0	0
2022.04.04	1.10453	1.10541	1.09600	1.09746	26412	0	0
2022.04.05	1.09748	1.09875	1.08996	1.09055	28670	0	0
2022.04.06	1.09057	1.09376	1.08740	1.08974	35566	0	0
2022.04.07	1.08973	1.09379	1.08599	1.08638	35255	0	0
2022.04.08	1.08640	1.08913	1.08361	1.08757	28794	0	0
2022.04.10	1.08993	1.09118	1.08839	1.08840	3351	0	0
2022.04.11	1.08839	1.09327	1.08723	1.08766	30389	0	0
2022.04.12	1.08767	1.09033	1.08209	1.08256	33616	0	0
