<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.31	08:00:00	102.64	103.64	102.36	103.54	1181	0	7
2022.10.31	12:00:00	103.53	104.83	100.72	101.67	25084	0	4
2022.10.31	16:00:00	101.67	103.01	101.14	102.36	18378	0	4
2022.11.01	08:00:00	103.31	103.76	103.24	103.63	825	0	16
2022.11.01	12:00:00	103.69	104.50	97.44	97.52	45138	0	4
2022.11.01	16:00:00	97.52	97.95	96.04	96.61	20635	0	4
2022.11.02	08:00:00	97.05	97.25	96.95	97.03	577	0	7
2022.11.02	12:00:00	97.03	97.68	94.52	94.65	25282	0	4
2022.11.02	16:00:00	94.66	97.18	92.49	92.94	79473	0	4
2022.11.03	08:00:00	92.91	92.91	92.14	92.23	1227	0	7
2022.11.03	12:00:00	92.23	93.47	89.13	89.31	43591	0	4
2022.11.03	16:00:00	89.32	91.07	88.99	89.91	21991	0	4
2022.11.04	08:00:00	90.38	90.66	90.09	90.41	1213	0	7
2022.11.04	12:00:00	90.41	92.40	88.57	89.01	47965	0	4
2022.11.04	16:00:00	89.01	90.86	88.02	90.85	29173	0	4
2022.11.07	08:00:00	91.82	92.24	91.81	91.97	300	0	16
2022.11.07	12:00:00	91.96	92.26	89.13	90.01	25831	0	4
2022.11.07	16:00:00	90.02	90.82	89.02	90.44	19256	0	4
2022.11.07	20:00:00	90.43	90.77	90.35	90.49	3152	0	4
2022.11.08	08:00:00	90.69	91.12	90.69	91.08	386	0	7
2022.11.08	12:00:00	91.05	91.12	89.08	90.68	19225	0	4
2022.11.08	16:00:00	90.68	91.69	88.22	89.00	25394	0	4
2022.11.08	20:00:00	89.00	90.87	88.92	90.41	5535	0	4
2022.11.09	08:00:00	89.84	90.29	89.78	89.94	431	0	7
2022.11.09	12:00:00	89.95	90.57	87.10	87.33	22563	0	4
2022.11.09	16:00:00	87.33	87.99	85.85	86.22	20256	0	4
2022.11.09	20:00:00	86.21	86.88	86.15	86.45	3866	0	4
2022.11.10	08:00:00	86.52	86.64	86.36	86.51	365	0	7
2022.11.10	12:00:00	86.48	98.56	86.28	97.41	51966	0	4
2022.11.10	16:00:00	97.42	98.20	95.42	96.03	35395	0	4
2022.11.10	20:00:00	96.02	96.72	95.56	96.26	3957	0	4
2022.11.11	08:00:00	97.64	97.98	97.55	97.83	393	0	16
2022.11.11	12:00:00	97.83	100.75	96.64	100.09	38413	0	4
2022.11.11	16:00:00	100.09	101.16	98.64	100.88	23179	0	4
2022.11.11	20:00:00	100.89	100.89	99.86	100.67	4761	0	4
2022.11.14	08:00:00	99.61	99.78	99.53	99.66	263	0	16
2022.11.14	12:00:00	99.68	100.08	97.30	98.94	27341	0	4
2022.11.14	16:00:00	98.93	100.08	97.82	99.52	22589	0	4
2022.11.14	20:00:00	99.53	99.95	98.69	98.84	4201	0	4
2022.11.15	08:00:00	99.62	100.31	99.62	100.26	569	0	7
2022.11.15	12:00:00	100.24	103.75	99.75	100.30	26468	0	4
2022.11.15	16:00:00	100.29	100.88	97.32	99.15	41505	0	4
2022.11.15	20:00:00	99.14	99.42	98.71	99.02	5533	0	4
2022.11.16	08:00:00	99.17	99.26	96.96	97.41	1577	0	7
2022.11.16	12:00:00	97.44	98.29	95.52	96.22	22846	0	4
2022.11.16	16:00:00	96.23	98.45	96.18	97.21	21889	0	4
2022.11.16	20:00:00	97.20	97.23	96.38	96.92	3663	0	4
2022.11.17	08:00:00	96.26	96.81	95.97	96.60	933	0	16
2022.11.17	12:00:00	96.54	96.93	94.71	95.34	23595	0	4
2022.11.17	16:00:00	95.33	96.45	94.71	94.71	22267	0	4
2022.11.17	20:00:00	94.71	94.79	94.00	94.52	4282	0	4
2022.11.18	08:00:00	95.96	95.98	95.64	95.95	261	0	16
2022.11.18	12:00:00	95.95	96.49	93.69	93.86	20372	0	4
2022.11.18	16:00:00	93.87	94.27	92.46	93.44	19911	0	4
2022.11.18	20:00:00	93.44	94.27	93.43	94.21	3010	0	4
2022.11.21	08:00:00	92.99	93.00	92.90	92.95	56	0	32
2022.11.21	12:00:00	92.97	94.99	90.56	90.90	17244	0	4
2022.11.21	16:00:00	90.90	92.27	90.80	91.98	19354	0	4
2022.11.21	20:00:00	91.97	92.36	91.93	92.19	3063	0	4
2022.11.22	08:00:00	92.66	92.70	92.09	92.49	298	0	16
2022.11.22	12:00:00	92.49	93.22	90.86	92.91	16619	0	4
2022.11.22	16:00:00	92.91	93.32	92.19	92.68	14173	0	4
2022.11.22	20:00:00	92.68	93.03	92.64	92.91	2016	0	4
2022.11.23	08:00:00	93.49	93.57	93.38	93.56	168	0	16
2022.11.23	12:00:00	93.56	94.14	92.81	94.07	15212	0	4
2022.11.23	16:00:00	94.07	94.51	92.82	94.21	18229	0	4
2022.11.23	20:00:00	94.21	94.55	94.00	94.14	2237	0	4
2022.11.25	08:00:00	94.45	94.50	94.17	94.20	243	0	16
2022.11.25	12:00:00	94.21	94.27	93.04	93.81	11676	0	4
2022.11.25	16:00:00	93.80	94.40	93.35	93.43	6405	0	4
2022.11.28	08:00:00	92.37	93.52	92.35	93.46	448	0	16
2022.11.28	12:00:00	93.37	96.02	93.15	94.09	16758	0	4
2022.11.28	16:00:00	94.08	95.23	93.66	93.97	14632	0	4
2022.11.28	20:00:00	93.97	94.08	93.41	93.74	2167	0	4
2022.11.29	08:00:00	94.64	94.77	94.52	94.68	133	0	16
2022.11.29	12:00:00	94.68	94.72	92.45	92.49	15406	0	4
2022.11.29	16:00:00	92.50	92.58	91.42	92.36	14138	0	4
2022.11.29	20:00:00	92.35	92.58	92.19	92.37	2051	0	4
2022.11.30	08:00:00	92.69	92.84	92.61	92.84	159	0	16
2022.11.30	12:00:00	92.81	93.18	91.54	92.08	17315	0	4
2022.11.30	16:00:00	92.09	95.42	91.50	94.55	29960	0	4
2022.11.30	20:00:00	94.55	95.97	94.42	95.88	3425	0	4
2022.12.01	08:00:00	96.14	96.18	96.00	96.05	254	0	7
2022.12.01	12:00:00	96.06	97.23	94.90	96.59	23333	0	4
2022.12.01	16:00:00	96.60	96.65	95.20	95.49	16975	0	4
2022.12.01	20:00:00	95.50	95.62	95.11	95.57	2004	0	4
2022.12.02	08:00:00	95.82	95.82	95.55	95.69	164	0	7
2022.12.02	12:00:00	95.69	96.41	92.82	94.04	22248	0	4
2022.12.02	16:00:00	94.04	94.87	93.83	94.17	11219	0	4
2022.12.02	20:00:00	94.18	94.52	94.01	94.06	2470	0	4
2022.12.05	08:00:00	94.32	94.51	94.21	94.45	307	0	7
2022.12.05	12:00:00	94.44	94.49	92.43	92.94	18937	0	4
2022.12.05	16:00:00	92.95	93.30	90.98	91.13	12501	0	4
2022.12.05	20:00:00	91.13	91.20	90.80	90.93	1932	0	4
